SHAPE_ID,MBTA_ROUTE,STOP_ID
100007,10,176
100007,10,1395
100007,10,1396
100007,10,1397
100007,10,1398
100007,10,21158
100007,10,11158
100007,10,10015
100007,10,5089
100007,10,855
100007,10,8
100007,10,20009
100007,10,30009
100007,10,131
100007,10,40009
100007,10,10010
100007,10,13
100007,10,14
100007,10,15
100007,10,16
100007,10,17
100007,10,18
100007,10,19
100007,10,20
100007,10,21
100007,10,22
100007,10,23
100007,10,24
100007,10,25
100007,10,26
100007,10,27
100007,10,28
100007,10,29
100008,10,178
100008,10,176
100008,10,1395
100008,10,1396
100008,10,1397
100008,10,1398
100008,10,21158
100008,10,11158
100008,10,10015
100008,10,5089
100008,10,855
100008,10,8
100008,10,20009
100008,10,30009
100008,10,131
160027,16,1565
160027,16,2922
160027,16,2923
160027,16,2904
160027,16,2924
160010,16,2904
34E0012,34E,615
34E0012,34E,616
34E0012,34E,618
34E0012,34E,10618
34E0012,34E,24619
34E0012,34E,99832
34E0012,34E,12618
34E0012,34E,13618
34E0012,34E,14618
34E0012,34E,15618
34E0012,34E,16618
34E0012,34E,22628
34E0012,34E,18618
34E0012,34E,19618
34E0012,34E,20618
34E0012,34E,21618
34E0012,34E,20619
34E0012,34E,30619
34E0012,34E,40619
240059,24,585
34E0012,34E,20620
34E0012,34E,30620
34E0012,34E,90620
34E0012,34E,90621
34E0012,34E,31619
34E0012,34E,90622
34E0012,34E,32619
34E0012,34E,33619
34E0012,34E,34619
34E0012,34E,22618
34E0012,34E,23618
34E0012,34E,24618
34E0012,34E,24628
34E0012,34E,25618
34E0012,34E,26618
34E0012,34E,27618
34E0012,34E,28618
34E0012,34E,29618
34E0012,34E,30618
34E0012,34E,31618
34E0012,34E,31628
34E0012,34E,32628
34E0012,34E,32638
160034,16,11587
160034,16,21587
160034,16,547
160034,16,875
160026,16,29051
160026,16,29052
160026,16,13
160026,16,5201
160026,16,35201
160026,16,5202
160026,16,5203
160010,16,2924
160010,16,2925
160010,16,2926
160010,16,2928
160010,16,2929
160010,16,2930
160010,16,2931
160010,16,2932
160010,16,12932
160010,16,1480
160010,16,2933
160010,16,2934
160010,16,2935
160010,16,124
160010,16,125
920019,92,2874
340100,34,70618
340100,34,61871
340100,34,71618
340100,34,61872
340100,34,619
340100,34,620
340100,34,621
340100,34,622
340100,34,623
340100,34,624
340100,34,625
340100,34,10625
340100,34,626
340100,34,627
340100,34,628
340100,34,629
340100,34,630
340100,34,631
340100,34,632
340100,34,633
340100,34,10633
340100,34,634
340100,34,635
340100,34,636
340100,34,637
340100,34,638
340100,34,639
340100,34,640
340100,34,641
340100,34,642
34E0012,34E,597
34E0012,34E,598
34E0012,34E,599
34E0012,34E,600
34E0012,34E,601
34E0012,34E,6022
34E0012,34E,603
34E0012,34E,10603
34E0012,34E,604
34E0012,34E,605
34E0012,34E,606
34E0012,34E,607
34E0012,34E,608
34E0012,34E,609
34E0012,34E,610
34E0012,34E,611
34E0012,34E,612
34E0012,34E,10612
34E0012,34E,613
34E0012,34E,614
140010,14,1761
140010,14,1747
140010,14,1749
140010,14,1750
140010,14,1751
140010,14,1752
140010,14,1753
34E0003,34E,61848
34E0003,34E,49618
34E0003,34E,50618
34E0003,34E,51618
34E0003,34E,61851
34E0003,34E,52618
160010,16,875
160010,16,520
160010,16,521
160010,16,522
160010,16,10522
160010,16,2922
160010,16,2923
180007,18,13
180007,18,298
180007,18,299
180007,18,300
180007,18,301
180007,18,302
180007,18,303
180007,18,304
180007,18,305
180007,18,306
180007,18,308
180007,18,309
180007,18,90311
180007,18,180
180007,18,312
180007,18,13121
180007,18,317
180007,18,3176
180007,18,318
180007,18,319
180007,18,320
180007,18,323
180007,18,55600
34E0003,34E,53618
34E0003,34E,54618
34E0003,34E,55618
34E0003,34E,56618
34E0003,34E,57618
34E0003,34E,61857
34E0003,34E,58618
34E0003,34E,59618
34E0003,34E,60618
34E0003,34E,61618
34E0003,34E,61861
34E0003,34E,62618
34E0003,34E,63618
34E0003,34E,46619
34E0003,34E,47619
34E0003,34E,47620
34E0003,34E,48619
34E0003,34E,49619
34E0003,34E,50619
34E0003,34E,70619
34E0003,34E,80619
34E0003,34E,50620
34E0003,34E,60620
34E0003,34E,70620
34E0003,34E,80620
34E0013,34E,598
34E0013,34E,599
34E0013,34E,600
34E0013,34E,601
34E0013,34E,6022
34E0013,34E,603
34E0013,34E,10603
34E0013,34E,604
34E0013,34E,605
34E0013,34E,606
34E0013,34E,607
34E0013,34E,608
34E0013,34E,609
34E0013,34E,610
34E0013,34E,611
34E0013,34E,612
34E0013,34E,10612
34E0013,34E,613
34E0013,34E,614
34E0013,34E,615
34E0013,34E,616
34E0013,34E,618
34E0013,34E,10618
34E0013,34E,24619
34E0013,34E,99832
34E0013,34E,12618
34E0003,34E,64618
34E0003,34E,65618
34E0003,34E,66618
34E0003,34E,67618
34E0003,34E,61866
34E0003,34E,61867
34E0003,34E,68618
34E0003,34E,69618
34E0003,34E,70618
34E0003,34E,61871
34E0003,34E,71618
34E0003,34E,61872
34E0003,34E,619
34E0003,34E,620
34E0003,34E,621
34E0003,34E,622
180006,18,334
180006,18,30336
180006,18,337
160027,16,2925
160027,16,2926
160027,16,2928
160027,16,2929
160027,16,2930
160027,16,2931
160027,16,2932
160027,16,12932
160027,16,1480
160027,16,2933
970010,97,5271
970010,97,55631
970010,97,55632
2100015,210,3125
2100015,210,3019
2100015,210,3020
2100015,210,3022
2100015,210,3023
2100015,210,3024
2100015,210,3025
160027,16,2934
160027,16,2935
160027,16,2937
160027,16,2939
160027,16,2940
160027,16,12940
160027,16,13
180006,18,338
180006,18,339
180006,18,340
180006,18,341
180006,18,342
180006,18,343
180006,18,325
180006,18,322
180006,18,323
180006,18,55600
180006,18,345
180006,18,346
180006,18,347
180006,18,348
180006,18,349
180006,18,350
180006,18,180
180006,18,312
180006,18,13121
180006,18,351
160035,16,362
160035,16,2910
160035,16,2911
160035,16,2912
160035,16,2913
160035,16,2914
160035,16,2915
160035,16,2916
160035,16,2918
160035,16,2919
160035,16,2920
160035,16,2921
160035,16,1587
160035,16,11587
160035,16,21587
160035,16,547
160035,16,875
210036,21,875
210036,21,520
210036,21,521
1010027,101,5072
1010027,101,5328
1010027,101,9028
1010027,101,5330
1010027,101,5331
1010027,101,45332
1010027,101,5332
1010027,101,8308
1010027,101,5282
1010027,101,5283
1010027,101,5284
1010027,101,5285
1010027,101,5286
920019,92,12821
920019,92,2821
140012,14,64000
140012,14,1148
140012,14,1149
140012,14,1150
140012,14,1151
140012,14,1152
3500034,350,1682
3500034,350,1683
3500034,350,1684
3500034,350,1685
3500034,350,1686
470034,47,7
990016,99,5271
990016,99,5563
470034,47,11
470034,47,17863
470034,47,1798
470034,47,1799
470034,47,11799
470034,47,11802
470034,47,11803
470034,47,1804
470034,47,1805
470034,47,1806
470034,47,1807
470034,47,1808
470034,47,1809
470034,47,11809
470034,47,1810
470034,47,1811
470034,47,1812
470034,47,1813
470034,47,1814
470034,47,1816
470031,47,150
470031,47,10011
470031,47,10012
3500034,350,41686
3500034,350,1687
3500034,350,1688
3500034,350,16881
3500034,350,1689
470031,47,10013
470031,47,5090
470031,47,10015
470031,47,1790
470031,47,1791
470031,47,11792
080015,08,10010
080015,08,11241
090033,09,880
090033,09,41
090033,09,42
090033,09,43
090033,09,44
090033,09,45
090033,09,158
090033,09,159
090033,09,160
090033,09,161
090033,09,162
090033,09,163
090033,09,150
090033,09,36538
090033,09,36541
090033,09,36539
090033,09,36540
34E0010,34E,47620
34E0010,34E,48619
34E0010,34E,49619
34E0010,34E,50619
34E0010,34E,70619
34E0010,34E,80619
34E0010,34E,50620
34E0010,34E,60620
34E0010,34E,70620
34E0010,34E,80620
34E0010,34E,64618
34E0010,34E,65618
34E0010,34E,66618
34E0010,34E,67618
34E0022,34E,10642
34E0022,34E,596
34E0022,34E,597
34E0022,34E,598
34E0022,34E,599
34E0022,34E,600
34E0022,34E,601
34E0022,34E,6022
34E0022,34E,603
34E0022,34E,10603
34E0022,34E,604
34E0022,34E,605
34E0022,34E,606
34E0022,34E,607
34E0022,34E,608
34E0022,34E,609
34E0022,34E,610
34E0022,34E,611
34E0022,34E,612
34E0022,34E,10612
34E0022,34E,613
34E0022,34E,614
34E0022,34E,615
34E0022,34E,616
34E0022,34E,618
34E0022,34E,10618
34E0022,34E,10832
34E0022,34E,10833
34E0022,34E,12618
34E0022,34E,13618
34E0022,34E,14618
34E0022,34E,15618
34E0022,34E,16618
34E0022,34E,22628
34E0010,34E,61866
34E0010,34E,61867
34E0012,34E,10642
34E0012,34E,596
34E0020,34E,616
34E0020,34E,618
34E0020,34E,10618
34E0020,34E,10832
34E0020,34E,10833
34E0020,34E,12618
34E0020,34E,13618
34E0020,34E,14618
34E0020,34E,15618
34E0020,34E,16618
34E0020,34E,22628
34E0020,34E,18618
34E0020,34E,19618
34E0020,34E,20618
34E0020,34E,21618
3500034,350,1665
3500034,350,1667
3500034,350,1669
3500034,350,1670
3500034,350,1671
3500034,350,1672
3500034,350,1673
3500034,350,11673
080015,08,1518
080015,08,1519
080015,08,1520
080015,08,1777
080015,08,1778
080015,08,1779
080015,08,1780
080015,08,11780
080015,08,11781
080015,08,1784
080015,08,1785
080015,08,17861
090033,09,33
3500034,350,1674
330039,33,18975
330039,33,8328
330039,33,8329
330039,33,8330
330039,33,8331
330039,33,8332
330039,33,8333
330039,33,8334
330039,33,42820
330039,33,8335
330039,33,6516
330039,33,6517
330039,33,6519
330039,33,6520
330039,33,6521
330039,33,6522
